,FMID,start,end,zip
0,1011871,2016-06-25,2016-10-01,44130
1,1011878,2016-05-04,2016-10-12,49007
2,1010691,2014-04-02,2014-11-30,64759
3,1011100,2015-05-05,2015-10-27,37204
4,1009845,2014-06-10,2014-11-25,10027
5,1005586,2014-05-16,2014-10-17,19801
6,1008071,2014-05-03,2014-11-22,20009
7,1012710,2016-04-09,2016-11-19,20011
8,1010284,2014-06-26,2014-11-20,10033
9,1010968,2015-06-01,2015-11-15,19146
10,1009994,2014-06-07,2014-09-27,69361
11,1010376,2016-05-14,2016-10-01,61920
12,1012790,2016-09-03,2017-06-24,32626
13,1012158,2016-01-01,2016-12-31,98072
14,1010873,2015-06-05,2015-10-30,66604
15,1005309,2015-06-01,2015-11-01,19146
16,1011881,2016-05-07,2016-10-15,84341
17,1010966,2015-06-01,2015-11-15,19129
18,1005299,2015-06-01,2015-11-15,19146
19,1010994,2016-05-05,2016-09-01,24521
20,1009959,2016-01-01,2016-12-31,45402
21,1004950,2014-05-10,2014-10-11,60450
22,1010775,2015-01-18,2020-01-05,32461
23,1005636,2013-01-01,2013-12-31,21218
24,1005310,2015-06-01,2015-11-01,19121
25,1012784,2016-06-02,2016-09-29,46208
26,1012280,2016-06-09,2016-08-18,89431
27,1010965,2015-06-01,2015-11-22,19133
28,1005304,2015-06-01,2015-11-15,19139
29,1000060,2013-04-20,2013-12-21,10019
30,1005306,2015-06-01,2015-11-01,19143
31,1011895,2016-05-14,2016-10-29,60637
32,1010386,2014-05-06,2014-09-30,98406
33,1012500,2016-10-02,2017-05-28,85281
34,1000061,2013-01-01,2013-12-31,10024
35,1000062,2013-01-01,2013-12-31,10028
36,1000063,2013-06-23,2013-11-24,10128
37,1000064,2013-01-01,2013-12-31,10025
38,1011989,2016-05-10,2016-09-27,67401
39,1000986,2013-05-12,2013-10-20,84110
40,1009004,2014-01-01,2014-12-31,32303
41,1001887,2014-05-06,2014-09-23,29624
42,1004573,2013-06-06,2013-10-04,29620
43,1010487,2016-04-16,2016-11-22,24210
44,1000065,2013-01-01,2013-12-31,10014
45,1011313,2016-01-01,2016-12-01,70420
46,1011180,2015-05-31,2016-05-29,33470
47,1001083,2015-06-09,2015-10-27,49301
48,1010467,2014-06-07,2014-09-27,30103
49,1011328,2016-05-01,2016-10-01,17325
50,1008006,2016-06-01,2016-12-24,20009
51,1008961,2013-01-01,2013-12-31,96750
52,1012288,2016-05-07,2016-10-29,49221
53,1008667,2013-01-01,2013-12-31,28027
54,1012233,2016-05-02,2016-10-01,38120
55,1003562,2015-01-01,2015-12-31,85233
56,1008054,2015-01-01,2015-12-31,34604
57,1011967,2016-03-15,2016-07-31,32531
58,1004086,2014-10-04,2015-07-25,36542
59,1008612,2013-01-01,2013-12-31,32653
60,1011033,2016-06-04,2016-10-29,88310
61,1004070,2015-07-11,2015-10-10,81101
62,1002175,2016-04-16,2016-11-19,97321
63,1010559,2014-05-03,2014-10-25,49224
64,1010407,2014-05-17,2014-11-08,87102
65,1010597,2014-06-14,2014-09-13,28681
66,1000519,2014-05-23,2014-09-19,13607
67,1007366,2014-05-10,2014-10-25,56308
68,1011196,2016-07-10,2016-10-30,14802
69,1008835,2016-06-28,2016-10-11,93905
70,1005548,2016-11-01,2017-04-01,33187
71,1011735,2016-10-01,2017-07-01,78552
72,1010096,2014-05-04,2014-10-26,38117
73,1001962,2016-06-06,2016-10-03,52172
74,1002717,2016-05-05,2016-10-27,49010
75,1008262,2013-05-11,2013-10-12,28675
76,1011777,2015-10-21,2016-05-11,48912
77,1005675,2013-06-15,2013-10-12,44601
78,1002250,2013-05-04,2013-10-31,48801
79,1012389,2016-05-05,2016-09-29,97007
80,1010476,2014-01-01,2014-12-31,49707
81,1005447,2013-06-19,2013-09-28,83611
82,1009792,2014-06-10,2014-10-14,60803
83,1009998,2014-01-08,2014-03-05,91001
84,1006749,2014-06-07,2014-10-18,62002
85,1005644,2015-06-07,2015-10-01,95642
86,1005645,2015-06-03,2015-10-01,95665
87,1005646,2015-06-13,2015-10-01,95685
88,1008321,2014-04-01,2014-09-30,23002
89,1008399,2013-01-01,2013-12-31,32034
90,1011171,2015-05-02,2015-10-31,50010
91,1001135,2013-07-12,2013-09-20,25252
92,1010105,2014-05-04,2015-08-30,37115
93,1011670,2016-05-28,2016-10-15,12010
94,1012157,2016-07-12,2016-09-13,59711
95,1005944,2016-05-07,2016-10-29,98221
96,1001105,2014-07-07,2014-09-08,58710
97,1007258,2014-05-03,2014-10-11,99645
98,1010883,2015-05-09,2015-10-17,46016
99,1008251,2014-05-03,2014-05-31,29621
100,1008727,2014-04-18,2014-10-26,40342
101,1004991,2016-04-09,2016-11-19,45230
102,1003516,2015-05-20,2015-09-02,60640
103,1006378,2016-06-11,2016-09-24,14709
104,1010280,2014-01-01,2014-12-31,75901
105,1010223,2014-01-01,2014-12-31,48104
106,1010380,2015-06-23,2015-09-22,11003
107,1001142,2016-04-02,2016-12-24,21401
108,1011248,2015-05-30,2015-11-28,93534
109,1012651,2016-10-02,2017-05-28,85086
110,1000434,2013-06-01,2013-10-01,67003
111,1004557,2015-06-06,2015-10-03,54409
112,1011109,2015-04-18,2015-10-17,27502
113,1011158,2016-05-18,2016-10-12,37821
114,1012562,2016-06-08,2016-08-31,56208
115,1000431,2016-06-18,2016-10-29,54911
116,1009687,2014-01-01,2014-12-31,95003
117,1000558,2013-05-25,2013-10-26,63650
118,1012474,2016-06-03,2016-10-28,20020
119,1012410,2016-05-04,2016-11-30,20010
120,1012375,2016-05-31,2016-10-25,20032
121,1012453,2016-06-02,2016-10-27,20002
122,1012422,2016-05-05,2016-11-17,20032
123,1012455,2016-05-06,2016-11-25,20019
124,1012477,2016-05-06,2016-11-25,20017
125,1012413,2016-06-01,2016-10-26,20032
126,1012419,2016-05-04,2016-11-30,20001
127,1012454,2016-05-05,2016-11-17,20019
128,1012374,2016-05-03,2016-11-29,20032
129,1012427,2016-06-02,2016-10-27,20032
130,1012377,2016-06-01,2016-10-26,20001
131,1002085,2014-01-01,2014-12-31,95521
132,1001628,2014-04-27,2014-11-09,20198
133,1010882,2015-01-01,2015-12-31,48103
134,1001018,2015-01-01,2015-12-31,72201
135,1012129,2016-01-02,2016-03-26,22201
136,1008236,2016-06-02,2016-10-27,12603
137,1002611,2014-07-05,2014-09-20,98223
138,1010945,2015-04-29,2015-10-21,22204
139,1011122,2015-05-09,2015-10-31,87105
140,1001991,2016-05-07,2016-10-15,63010
141,1008855,2014-06-15,2014-09-21,48065
142,1010575,2014-01-01,2014-12-31,19382
143,1008534,2013-06-06,2013-09-26,47201
144,1005081,2013-06-02,2013-09-29,80002
145,1003061,2015-05-02,2015-10-31,20147
146,1003219,2015-04-11,2015-10-31,28694
147,1008904,2016-01-01,2016-12-31,28801
148,1008905,2016-04-06,2016-10-26,28803
149,1005158,2015-06-06,2015-10-10,54846
150,1008897,2016-05-07,2016-11-05,23005
151,1004692,2015-06-17,2015-10-28,80120
152,1000086,2013-07-10,2013-11-20,11106
153,1003661,2013-05-12,2013-10-13,97103
154,1001245,2015-05-02,2015-05-30,72401
155,1000448,2013-06-07,2013-09-30,49011
156,1005086,2016-01-01,2016-12-31,45701
157,1010034,2014-06-17,2014-10-30,37303
158,1008974,2014-04-09,2014-10-29,30601
159,1008857,2016-04-02,2016-12-17,30606
160,1011861,2016-06-04,2016-08-27,35611
161,1010003,2014-01-01,2014-12-31,90039
162,1002377,2014-06-03,2014-10-30,13021
163,1003772,2014-04-29,2014-09-30,66402
164,1006410,2014-06-06,2014-09-26,48326
165,1011950,2016-06-05,2016-09-25,98001
166,1008999,2014-01-01,2014-12-31,32803
167,1000559,2013-04-06,2013-10-26,65605
168,1005604,2013-05-01,2013-10-31,65605
169,1010694,2014-11-01,2015-02-28,65605
170,1011929,2016-06-11,2016-10-15,60505
171,1011927,2016-07-07,2016-08-25,60607
172,1011928,2016-07-06,2016-09-28,60506
173,1012430,2016-05-02,2016-10-29,55912
174,1011490,2015-06-08,2016-08-29,44515
175,1011826,2016-10-01,2017-03-01,85321
176,1010695,2014-04-01,2014-10-31,65608
177,1000898,2013-06-19,2013-10-16,14414
178,1010696,2015-05-05,2015-10-27,64856
179,1010697,2014-05-01,2014-10-29,64831
180,1004633,2014-04-12,2014-11-15,98110
181,1003411,2016-06-08,2016-10-12,97814
182,1008721,2013-05-15,2013-10-31,42056
183,1011333,2015-01-01,2015-12-31,98107
184,1011939,2016-04-14,2016-10-27,22203
185,1003662,2014-06-12,2014-10-18,12020
186,1010688,2014-01-01,2014-12-31,78003
187,1008053,2013-05-10,2013-10-25,49056
188,1012134,2016-05-10,2016-10-25,92220
189,1008918,2013-07-17,2013-11-27,11217
190,1007268,2013-05-03,2013-10-29,40004
191,1003082,2014-06-12,2014-08-28,14012
192,1005428,2015-05-30,2015-10-31,54880
193,1003976,2014-05-02,2014-10-31,42142
194,1012205,2016-05-14,2016-10-29,12719
195,1008194,2014-05-17,2014-09-27,38134
196,1010197,2014-07-01,2014-09-30,82410
197,1000436,2016-01-01,2016-12-31,78602
198,1006462,2014-06-07,2014-09-27,24445
199,1001325,2013-06-21,2013-10-31,40360
200,1007420,2012-05-01,2012-10-31,48808
201,1009051,2014-05-03,2014-10-29,49014
202,1003806,2016-05-07,2016-11-12,30739
203,1000057,2013-06-01,2013-11-23,11209
204,1010298,2014-07-03,2014-09-25,49781
205,1012753,2016-08-03,2017-04-26,33931
206,1001852,2016-01-01,2016-12-31,32266
207,1006359,2016-04-24,2016-11-20,12508
208,1011153,2016-05-13,2016-09-30,47448
209,1010739,2016-02-20,2016-12-17,77707
210,1001275,2016-06-02,2016-10-06,48073
211,1011675,2015-05-23,2015-10-31,42320
212,1007999,2016-06-07,2016-09-13,50310
213,1001403,2015-05-02,2016-09-24,97075
214,1008103,2015-06-17,2015-08-26,97075
215,1011291,2016-05-14,2016-10-29,48182
216,1011041,2015-05-16,2015-10-31,47421
217,1010175,2016-05-01,2016-10-01,24523
218,1000497,2015-06-13,2015-09-26,40214
219,1010368,2016-05-31,2016-10-31,69345
