,FMID,start,end,zip
220,1006161,2015-06-12,2015-09-04,48462
221,1010607,2016-04-09,2016-11-12,21014
222,1011913,2016-06-11,2016-10-08,48809
223,1011051,2016-05-27,2016-10-21,49615
224,1010227,2014-05-17,2014-09-13,19809
225,1011902,2016-05-28,2016-09-24,66935
226,1008875,2013-05-04,2013-10-26,62220
227,1001204,2014-06-05,2014-09-25,49021
228,1002917,2016-05-12,2016-10-27,98004
229,1008085,2013-06-08,2013-11-23,98004
230,1010259,2014-05-31,2014-09-20,68005
231,1008140,2014-06-03,2015-09-30,98226
232,1000940,2013-05-18,2013-10-12,44813
233,1011488,2015-01-01,2015-12-31,94002
234,1002064,2014-05-29,2014-10-30,14813
235,1011363,2016-06-02,2016-09-29,64012
236,1001316,2016-05-28,2016-10-29,56601
237,1001533,2014-04-24,2014-10-30,94510
238,1010001,2014-05-14,2014-10-01,68317
239,1012679,2016-06-15,2016-08-31,60105
240,1007425,2014-05-03,2014-09-27,68104
241,1008920,2013-07-07,2013-11-23,11214
242,1010815,2015-05-31,2015-07-26,71006
243,1005291,2015-07-08,2015-10-14,49022
244,1012718,2016-04-23,2016-10-29,72712
245,1010940,2015-05-06,2015-10-28,72712
246,1012011,2016-04-09,2016-10-31,40403
247,1005183,2013-04-07,2013-12-15,25411
248,1007371,2014-05-02,2014-11-07,13440
249,1011942,2016-06-07,2016-08-30,54923
250,1011221,2015-03-22,2015-11-22,72202
251,1011447,2015-01-01,2015-12-31,95132
252,1004403,2014-04-01,2014-10-01,72616
253,1011149,2016-06-25,2016-09-24,80513
254,1010832,2015-06-14,2015-10-25,60402
255,1005173,2016-06-02,2016-09-15,35022
256,1010985,2015-06-14,2015-08-30,19930
257,1010111,2014-04-26,2014-10-25,64424
258,1000745,2015-01-01,2015-12-31,20814
259,1010406,2015-01-04,2015-03-29,20814
260,1012494,2016-05-05,2016-10-27,18015
261,1001460,2013-01-01,2013-12-31,90210
262,1009978,2014-05-15,2014-10-30,43209
263,1005378,2013-07-15,2013-10-01,57752
264,1005949,2014-04-01,2014-09-30,92315
265,1011915,2016-06-09,2016-10-27,82414
266,1011917,2016-06-13,2016-10-24,82435
267,1000700,2013-06-21,2013-10-11,99122
268,1006345,2013-05-04,2013-10-05,24219
269,1008121,2014-06-07,2014-10-11,59911
270,1009854,2014-06-04,2014-10-15,59911
271,1010217,2016-05-01,2016-10-23,48009
272,1005217,2014-01-01,2014-12-31,85603
273,1011692,2016-06-04,2016-08-27,38652
274,1011854,2016-06-25,2016-10-29,93514
275,1011037,2015-06-06,2015-10-31,58501
276,1009738,2014-05-10,2014-12-01,45168
277,1000730,2015-05-16,2015-10-31,57701
278,1003085,2013-05-04,2013-10-26,28711
279,1010440,2014-05-24,2014-10-25,54615
280,1010442,2014-06-05,2014-09-25,54615
281,1002609,2014-06-01,2014-10-25,24315
282,1010004,2014-06-04,2014-10-22,14219
283,1011911,2016-06-04,2016-10-29,49718
284,1011829,2016-06-04,2016-11-05,15224
285,1008070,2014-05-04,2014-11-23,20009
286,1002254,2015-04-01,2015-11-28,47401
287,1005945,2013-06-08,2013-10-12,55431
288,1011784,2016-12-03,2017-03-25,47401
289,1000208,2016-05-28,2016-10-29,17815
290,1002737,2016-01-01,2016-12-31,95136
291,1005883,2013-06-01,2013-10-26,35121
292,1008177,2015-04-18,2015-10-31,40509
293,1010000,2014-03-22,2015-12-12,40513
294,1004274,2013-07-16,2013-10-29,40214
295,1008789,2014-05-09,2014-10-03,41064
296,1001780,2016-05-07,2016-10-08,46714
297,1006643,2016-05-07,2016-11-26,21230
298,1004074,2016-01-01,2016-12-31,16827
299,1000279,2014-10-18,2015-06-06,33432
300,1010517,2016-10-01,2017-04-29,34134
301,1004185,2013-10-16,2014-05-14,34135
302,1011796,2016-04-16,2016-10-29,65203
303,1003632,2013-05-04,2013-12-20,41005
304,1006833,2016-06-02,2016-10-27,50036
305,1012632,2016-01-01,2016-12-31,37659
306,1001016,2014-06-01,2014-09-07,97009
307,1000101,2013-07-11,2013-11-21,11219
308,1011061,2015-05-09,2015-10-17,53805
309,1012513,2016-05-07,2016-10-29,76665
310,1011174,2016-05-07,2016-10-15,24083
311,1004298,2014-06-06,2014-10-03,98021
312,1012002,2016-07-09,2016-10-01,58318
313,1012335,2016-04-02,2016-11-19,80302
314,1001526,2013-07-04,2013-09-26,59632
315,1001773,2015-04-25,2015-10-31,42141
316,1001772,2015-11-14,2016-04-09,42141
317,1004020,2016-06-09,2016-09-01,98233
318,1006524,2015-05-17,2015-10-25,20715
319,1008423,2014-04-19,2014-10-18,22427
320,1000066,2013-01-01,2013-12-31,10004
321,1008806,2013-03-16,2013-11-16,42101
322,1008808,2016-04-02,2016-10-29,40422
323,1002171,2013-04-01,2013-10-31,49712
324,1006498,2014-10-18,2015-04-18,59715
325,1012320,2016-10-01,2017-05-27,34205
326,1008629,2014-06-03,2014-10-30,42240
327,1010748,2014-01-01,2014-12-31,37411
328,1003062,2015-05-03,2015-11-01,20148
329,1008830,2015-06-05,2015-10-09,24715
330,1008401,2016-05-26,2016-10-27,14418
331,1003293,2014-05-01,2014-10-16,98337
332,1003294,2014-05-04,2014-10-12,98337
333,1008611,2013-01-01,2013-12-31,32935
334,1005878,2014-06-11,2014-11-22,10509
335,1006853,2014-05-01,2014-09-25,64116
336,1006305,2014-05-21,2014-10-08,80920
337,1001519,2013-05-12,2013-10-13,26330
338,1002700,2015-06-03,2015-10-21,69336
339,1011242,2015-06-16,2015-10-06,15017
340,1005440,2016-05-22,2016-10-30,14618
341,1008017,2014-01-01,2014-12-31,20136
342,1010604,2014-04-05,2014-10-04,76107
343,1005301,2015-06-01,2015-11-15,19148
344,1005321,2015-06-01,2015-11-01,19103
345,1005505,2014-05-03,2014-11-22,46220
346,1006306,2014-05-26,2014-09-29,80906
347,1010385,2014-05-01,2014-10-30,98402
348,1008896,2016-05-07,2016-11-05,22815
349,1001333,2013-06-06,2013-10-17,68822
350,1000095,2013-06-04,2013-11-26,10452
351,1012744,2016-05-04,2016-11-19,10708
352,1005367,2016-06-22,2016-09-28,26037
353,1000787,2016-06-25,2016-09-17,26070
354,1001097,2016-05-07,2016-10-29,53005
355,1003988,2014-06-08,2014-10-18,60513
356,1002166,2014-06-06,2014-09-12,39601
357,1012726,2016-04-16,2016-12-10,30319
358,1005482,2016-05-07,2016-10-29,57006
359,1005671,2014-05-31,2014-10-11,97415
360,1012257,2016-04-16,2016-12-17,20018
361,1000100,2013-01-01,2013-12-31,11201
362,1002427,2016-04-16,2016-10-29,64113
363,1001086,2014-05-16,2014-10-17,47012
364,1002708,2016-06-14,2016-09-27,80020
365,1009737,2014-05-08,2014-11-01,45121
366,1009736,2014-05-10,2014-11-01,45154
367,1012328,2016-06-15,2016-10-26,53223
368,1009721,2016-06-14,2016-08-30,48183
369,1001326,2014-06-14,2014-09-06,95919
370,1001910,2016-05-05,2016-10-27,97327
371,1006168,2014-01-01,2015-01-01,78520
372,1008924,2013-07-13,2013-11-23,11212
373,1008922,2013-07-12,2013-11-22,11212
374,1006476,2015-06-05,2015-10-30,54819
375,1007369,2013-06-29,2013-09-21,80723
376,1008485,2016-01-01,2016-12-31,19096
377,1011923,2016-01-01,2016-12-31,32832
378,1010621,2014-01-01,2014-12-31,32110
379,1000843,2014-01-01,2014-12-31,91502
380,1001541,2012-05-01,2012-10-31,98166
381,1009873,2016-07-07,2016-10-06,57523
382,1011402,2016-04-02,2016-10-29,27216
383,1008964,2015-06-11,2015-10-29,54840
384,1012716,2016-06-24,2016-10-28,54840
385,1008967,2016-06-27,2016-10-31,54840
386,1008969,2016-05-28,2016-11-05,54872
387,1012559,2016-06-04,2016-10-15,12027
388,1008987,2016-06-25,2016-11-19,11206
389,1005485,2014-06-02,2014-10-20,53007
390,1001362,2016-05-21,2016-10-08,59701
391,1010322,2014-06-11,2014-10-29,28146
392,1010321,2014-06-14,2014-10-25,28159
393,1008380,2013-05-07,2013-10-29,23220
394,1002617,2014-05-04,2014-10-25,49315
395,1010702,2014-04-02,2014-11-26,65689
396,1009640,2016-05-07,2016-10-15,84321
397,1004299,2015-04-04,2015-09-26,42211
398,1004862,2012-01-01,2012-12-31,70361
399,1005821,2015-05-13,2015-09-23,83605
400,1010783,2014-11-22,2015-04-18,92231
401,1002788,2012-01-01,2012-12-31,36202
402,1009017,2014-05-01,2014-10-31,94515
403,1008263,2013-01-01,2013-12-31,32404
404,1003561,2012-06-01,2012-10-31,31822
405,1002666,2015-05-03,2015-11-08,12723
406,1002669,2015-11-15,2016-04-17,12723
407,1004192,2016-05-07,2016-11-26,20610
408,1004193,2016-05-03,2016-11-29,20678
409,1004194,2016-05-05,2016-11-17,20688
410,1010782,2015-07-06,2015-09-28,98282
411,1008275,2016-01-01,2016-12-31,93010
412,1010081,2014-06-04,2014-10-01,98607
413,1001638,2013-06-01,2013-10-12,83610
414,1002969,2016-05-05,2016-10-13,21613
415,1010107,2016-06-03,2016-09-30,53523
416,1004233,2016-01-01,2016-12-31,21801
417,1002674,2014-01-01,2016-12-01,70458
418,1005275,2016-05-06,2016-10-29,54602
419,1003776,2014-05-14,2014-10-08,95682
420,1009861,2014-04-15,2014-08-26,28542
421,1009653,2014-06-07,2014-10-25,41071
422,1006428,2014-05-16,2014-10-24,41001
423,1006429,2014-05-13,2014-10-28,41076
424,1001909,2014-06-07,2014-10-25,13317
425,1012183,2016-06-03,2016-10-28,43055
426,1001214,2015-05-23,2015-09-26,43110
427,1002837,2014-06-17,2014-10-14,14424
428,1006790,2014-05-10,2014-10-18,97013
429,1003627,2014-04-26,2014-07-26,71457
430,1008796,2014-05-07,2014-10-22,62918
431,1012038,2016-01-01,2016-12-31,91303
432,1009644,2014-06-03,2014-10-14,81212
433,1009037,2014-05-04,2014-09-28,48360
434,1004649,2016-05-15,2016-10-16,48187
435,1009677,2014-05-08,2014-10-31,28716
436,1010438,2014-05-01,2014-09-01,97417
437,1006963,2014-04-17,2014-11-20,63701
438,1005285,2015-05-02,2015-10-31,63701
439,1004444,2016-05-07,2016-10-29,57501
440,1011930,2016-06-15,2016-09-14,19904
441,1003356,2016-04-16,2016-12-17,83702
442,1010194,2014-05-29,2014-10-02,12206
443,1010433,2014-04-04,2014-10-24,20004
444,1004165,2016-01-03,2016-12-18,98122
445,1011746,2016-05-11,2016-10-12,66612
446,1004700,2016-06-01,2016-10-12,53718
447,1006857,2013-05-03,2013-06-28,62901
448,1011167,2015-04-04,2015-11-28,62901
449,1012654,2016-10-07,2017-05-26,85377
450,1011204,2015-06-27,2015-10-31,70520
451,1012670,2016-06-04,2016-10-29,50047
452,1002693,2014-06-19,2014-09-25,62231
453,1007367,2014-05-03,2014-09-27,46032
454,1008450,2014-05-06,2014-09-30,93923
455,1006651,2016-05-03,2016-10-25,98014
456,1010092,2014-05-17,2014-10-04,28428
457,1012028,2016-05-05,2016-10-27,29579
458,1010106,2014-05-03,2014-10-25,14817
459,1011610,2015-05-22,2015-10-30,19808
460,1011740,2015-11-07,2016-03-26,27510
461,1004738,2014-03-22,2014-05-10,21157
462,1008322,2016-05-01,2016-09-01,64633
463,1000808,2014-05-05,2014-10-27,62016
464,1004415,2014-06-07,2014-09-20,89701
465,1002722,2016-05-16,2016-10-24,62321
466,1012173,2016-04-02,2016-11-19,27511
467,1009997,2014-06-01,2014-09-28,60013
468,1011489,2015-06-21,2015-10-25,14450
469,1003063,2015-05-03,2015-11-01,20165
470,1008997,2013-01-01,2013-12-31,44106
471,1011711,2015-01-01,2015-12-31,78213
472,1003143,2014-07-12,2014-10-04,80104
473,1011460,2015-03-11,2015-12-16,94114
474,1012399,2016-04-16,2016-09-17,27344
475,1008276,2015-06-04,2015-09-24,28602
476,1012444,2016-04-16,2016-12-17,28658
477,1011496,2015-05-07,2015-10-15,24070
478,1011215,2015-07-08,2015-09-02,14615
479,1003681,2016-05-04,2016-11-30,21228
480,1008732,2013-06-06,2013-09-26,42127
481,1010163,2014-05-10,2014-11-01,13035
482,1006846,2014-06-08,2014-10-12,81211
483,1006845,2012-06-01,2012-10-02,81212
484,1006847,2014-06-07,2014-10-11,81201
485,1005295,2015-06-01,2015-11-15,19122
486,1003117,2014-05-09,2014-10-31,21901
487,1000690,2014-07-23,2014-10-08,84720
488,1008436,2013-04-06,2013-10-26,64744
489,1012616,2016-05-07,2016-10-29,50613
490,1012484,2016-05-07,2016-07-30,97266
491,1003488,2014-04-05,2014-11-01,28906
492,1006849,2016-05-01,2016-09-24,75482
493,1011046,2015-04-24,2015-10-16,75009
494,1004680,2014-06-12,2014-09-25,55435
495,1012117,2016-06-18,2016-10-15,19807
496,1010090,2014-05-15,2014-10-30,45458
497,1012449,2016-06-03,2016-10-14,56347
498,1012589,2016-06-16,2016-10-13,56303
499,1006668,2014-05-22,2014-10-09,52214
500,1010399,2014-01-01,2014-12-31,17401
501,1009725,2014-01-01,2014-12-31,34233
502,1000799,2015-04-22,2015-10-31,21617
503,1004645,2015-06-05,2015-10-03,83226
504,1002374,2014-05-31,2014-09-27,57325
505,1008664,2014-01-01,2014-12-31,95120
506,1012507,2016-05-07,2016-10-29,43078
507,1011823,2016-10-06,2017-04-27,85225
508,1000798,2013-04-20,2013-10-19,66720
509,1004593,2013-01-01,2013-12-31,95928
510,1006859,2014-05-29,2014-10-01,50049
511,1011415,2015-05-09,2015-10-17,50616
512,1004643,2014-01-01,2014-12-31,39530
513,1012789,2016-04-16,2016-10-29,25414
514,1006290,2014-04-12,2014-10-25,25414
515,1003250,2014-06-04,2014-10-15,61920
516,1003837,2015-04-04,2015-11-28,29403
517,1004271,2016-05-05,2016-10-06,49720
518,1000974,2013-06-01,2013-10-26,48813
519,1010687,2014-11-16,2015-11-15,33952
520,1011689,2015-09-01,2016-04-30,28217
521,1012019,2016-04-02,2016-11-19,22902
522,1000626,2015-04-04,2015-09-26,27312
523,1011537,2015-04-26,2015-11-21,37408
524,1010325,2015-06-03,2015-08-26,14750
525,1012273,2016-09-06,2016-12-24,12921
526,1006635,2014-05-07,2014-10-15,74159
527,1002601,2013-05-04,2013-10-26,48118
528,1009894,2016-05-21,2016-12-17,10011
529,1011319,2015-07-18,2015-11-21,10029
530,1005110,2013-06-11,2013-09-24,99004
531,1006834,2013-05-25,2013-10-05,67025
532,1008241,2013-08-03,2013-10-26,69201
533,1005243,2014-01-01,2014-12-31,92586
534,1006636,2014-04-05,2014-10-25,74159
535,1010252,2016-07-23,2016-10-15,48616
536,1005339,2015-04-04,2015-09-19,23831
537,1008606,2015-05-20,2015-09-16,23832
538,1000944,2014-06-18,2014-09-24,12817
539,1002187,2014-01-01,2014-04-01,21620
540,1008483,2016-01-01,2016-12-31,19118
541,1005302,2015-06-01,2015-11-15,19119
542,1012146,2016-05-13,2016-10-28,99109
543,1010203,2014-08-02,2014-10-04,82001
544,1009643,2014-06-24,2015-10-13,82009
545,1003524,2015-01-01,2015-12-31,82001
546,1000561,2014-06-07,2014-09-27,60411
547,1004401,2013-05-03,2013-06-28,36535
548,1001261,2013-05-02,2013-10-31,73018
549,1001763,2014-04-17,2014-10-23,24319
550,1001701,2016-05-07,2016-10-29,64601
551,1001590,2013-05-03,2013-09-27,28023
552,1000877,2014-04-12,2014-10-25,23336
553,1008409,2013-06-06,2013-10-17,54729
554,1000886,2016-05-20,2016-10-28,55013
555,1010704,2014-04-03,2014-10-30,65721
556,1011161,2015-05-07,2015-10-15,24073
557,1012610,2016-09-03,2016-12-31,24522
558,1004360,2013-05-04,2013-10-26,23824
559,1011307,2015-01-01,2015-12-31,78108
560,1011042,2015-05-26,2015-09-08,13039
561,1000067,2013-03-12,2013-12-24,10007
562,1005250,2015-01-01,2015-12-31,96813
563,1010123,2016-01-01,2016-12-31,92105
564,1011386,2015-11-01,2016-02-29,64106
565,1004302,2013-04-01,2013-10-31,35950
566,1008616,2014-05-27,2014-10-04,29812
567,1005809,2014-06-04,2014-10-29,61427
568,1009000,2013-05-17,2013-10-04,24333
569,1005719,2014-05-18,2014-10-26,48439
570,1003131,2015-05-02,2015-10-31,64050
571,1004255,2015-06-28,2015-09-27,80537
572,1008434,2013-04-13,2013-11-09,20110
573,1008428,2013-04-11,2013-11-07,20110
574,1009719,2014-07-16,2014-10-15,60954
575,1010007,2014-06-18,2014-09-17,68046
576,1000303,2013-06-19,2013-10-02,55447
577,1006746,2016-05-17,2016-09-20,13461
578,1008488,2013-04-03,2013-10-30,63084
579,1010429,2014-04-01,2014-10-31,63084
580,1006460,2014-06-27,2014-10-31,55110
581,1006368,2014-06-19,2014-09-25,60099
582,1002042,2014-04-06,2014-10-26,97015
583,1002106,2015-01-01,2015-12-31,91711
584,1008938,2013-05-03,2013-09-27,28610
585,1000579,2014-06-07,2014-10-25,14031
586,1007374,2014-04-16,2014-12-17,22201
587,1000406,2016-05-07,2016-10-29,59802
588,1011959,2016-10-01,2016-05-07,85282
589,1005296,2015-01-01,2015-12-31,19104
590,1008001,2013-05-04,2013-10-26,30523
591,1011268,2015-01-01,2015-12-31,26301
592,1004198,2014-04-27,2014-11-02,30021
593,1004721,2014-07-13,2014-09-28,48017
594,1004202,2015-06-07,2015-09-27,99110
595,1010706,2015-05-07,2015-10-29,63139
596,1006806,2014-04-02,2014-04-23,29634
597,1010192,2014-07-10,2014-09-25,46234
598,1005524,2014-07-03,2014-10-30,12065
599,1008982,2014-05-03,2014-10-11,61727
600,1001850,2014-06-07,2014-10-31,45177
601,1000389,2016-06-02,2016-10-06,13323
602,1012118,2016-04-30,2016-11-19,43214
603,1000549,2015-01-01,2015-12-31,36311
604,1010561,2014-07-18,2014-10-19,88317
605,1010707,2014-04-05,2014-10-25,65610
606,1011903,2016-04-30,2016-10-29,97479
