,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1,1011871,44130,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
2,1011878,49007,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,
4,1010691,64759,,,,,15:00:00-06:00,18:00:00-06:00,,,,,08:00:00-06:00,13:00:00-06:00,,
5,1002454,10029,,,08:00:00-05:00,17:00:00-05:00,,,,,,,08:00:00-05:00,20:00:00-05:00,,
6,1011100,37204,,,15:30:00-06:00,18:30:00-06:00,,,,,,,,,,
7,1009845,10027,,,10:00:00-05:00,19:00:00-05:00,,,,,,,,,,
8,1005586,19801,,,,,,,,,08:00:00-05:00,11:00:00-05:00,,,,
9,1008071,20009,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
10,1012710,20011,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
11,1010284,10033,,,,,,,08:00:00-05:00,17:00:00-05:00,,,,,,
12,1003877,55413,,,,,15:00:00-06:00,19:00:00-06:00,,,,,,,,
14,1010968,19146,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
15,1009994,69361,,,,,,,,,,,08:00:00-07:00,11:00:00-07:00,,
16,1010376,61920,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
17,1012790,32626,,,,,,,,,,,08:30:00-05:00,13:00:00-05:00,,
18,1012158,98072,,,,,11:00:00-08:00,18:00:00-08:00,11:00:00-08:00,18:00:00-08:00,11:00:00-08:00,18:00:00-08:00,11:00:00-08:00,18:00:00-08:00,,
19,1010873,66604,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,,,
20,1005309,19146,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,,,
22,1011881,84341,,,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00
23,1010966,19129,,,,,13:00:00-05:00,17:00:00-05:00,,,,,,,,
24,1005299,19146,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,,,
25,1010994,24521,,,,,,,15:30:00-05:00,18:30:00-05:00,,,,,,
26,1009959,45402,,,,,,,11:00:00-05:00,15:00:00-05:00,11:00:00-05:00,15:00:00-05:00,08:00:00-05:00,15:00:00-05:00,,
27,1004950,60450,,,,,,,,,,,08:00:00-06:00,14:00:00-06:00,,
28,1010775,32461,,,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00
30,1005636,21218,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00,,
31,1005310,19121,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,
32,1012784,46208,,,,,,,16:00:00-05:00,18:30:00-05:00,,,,,,
33,1012280,89431,,,,,,,16:00:00-08:00,21:00:00-08:00,,,,,,
34,1004414,89703,,,,,,,,,,,08:30:00-08:00,13:30:00-08:00,,
35,1011213,14609,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,,,
