,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
36,1010965,19133,,,13:00:00-05:00,17:00:00-05:00,,,,,,,,,,
39,1005304,19139,,,,,13:00:00-05:00,17:00:00-05:00,,,,,,,,
40,1000060,10019,,,,,08:00:00-05:00,17:00:00-05:00,,,,,08:00:00-05:00,17:00:00-05:00,,
41,1005306,19143,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,
42,1011895,60637,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
43,1010386,98406,,,15:00:00-08:00,19:00:00-08:00,,,,,,,,,,
44,1012500,85281,,,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00
45,1000061,10024,,,,,,,,,,,,,08:00:00-05:00,17:00:00-05:00
46,1000062,10028,,,,,,,,,,,09:00:00-05:00,14:30:00-05:00,,
48,1001961,52401,,,16:00:00-06:00,18:00:00-06:00,,,,,,,07:30:00-06:00,12:00:00-06:00,,
49,1000063,10128,,,,,,,,,,,,,09:00:00-05:00,16:00:00-05:00
50,1000064,10025,,,,,,,,,08:00:00-05:00,14:00:00-05:00,,,,
51,1011989,67401,,,16:00:00-06:00,19:00:00-06:00,,,,,,,,,,
52,1000986,84110,,,,,,,,,,,,,09:00:00-07:00,14:00:00-07:00
54,1001683,21716,12:00:00-05:00,17:00:00-05:00,12:00:00-05:00,17:00:00-05:00,12:00:00-05:00,17:00:00-05:00,12:00:00-05:00,17:00:00-05:00,12:00:00-05:00,17:00:00-05:00,10:00:00-05:00,17:00:00-05:00,12:00:00-05:00,17:00:00-05:00
55,1009004,32303,,,,,15:00:00-05:00,18:30:00-05:00,,,,,,,,
56,1001887,29624,,,17:00:00-05:00,20:00:00-05:00,,,,,,,,,,
58,1004573,29620,,,,,,,16:00:00-05:00,20:00:00-05:00,07:00:00-05:00,12:00:00-05:00,,,,
60,1004598,54405,,,13:30:00-06:00,17:30:00-06:00,,,,,,,,,,
64,1010487,24210,,,15:00:00-05:00,18:00:00-05:00,,,,,,,08:00:00-05:00,13:00:00-05:00,,
65,1000065,10014,,,,,,,,,,,08:00:00-05:00,14:00:00-05:00,,
68,1011313,70420,,,,,,,,,,,,,00:00:00-06:00,16:00:00-06:00
74,1008461,65438,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,,
75,1011180,33470,,,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00
79,1001393,74820,,,,,,,,,,,,,,
80,1001083,49301,,,11:00:00-05:00,16:00:00-05:00,,,,,,,,,,
82,1010467,30103,,,,,,,,,,,,,08:00:00-05:00,23:30:00-05:00
83,1011328,17325,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
84,1011322,17325,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,
86,1008006,20009,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00,,
87,1008961,96750,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,,,12:00:00-10:00,16:00:00-10:00
92,1012288,49221,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
93,1011214,14611,,,,,11:00:00-05:00,14:00:00-05:00,,,,,,,,
94,1008667,28027,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,
96,1012233,38120,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:00:00-06:00,17:30:00-06:00,,
100,1008054,34604,,,,,,,,,,,08:00:00-05:00,15:00:00-05:00,08:00:00-05:00,15:00:00-05:00
102,1011967,32531,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,12:00:00-06:00,17:00:00-06:00
105,1004086,36542,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
106,1008612,32653,,,,,,,,,,,,,08:30:00-05:00,13:00:00-05:00
109,1004846,89001,,,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,,
110,1011033,88310,,,,,,,,,,,09:00:00-07:00,11:00:00-07:00,,
112,1004070,81101,,,,,,,,,,,08:00:00-07:00,13:00:00-07:00,,
113,1004425,31702,,,,,,,,,,,08:00:00-05:00,14:00:00-05:00,,
114,1002175,97321,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
118,1010559,49224,,,,,08:30:00-05:00,13:00:00-05:00,,,,,08:30:00-05:00,13:00:00-05:00,,
119,1010407,87102,,,,,,,,,,,07:00:00-07:00,12:00:00-07:00,,
122,1002222,48740,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
123,1008252,24910,,,,,,,,,,,08:00:00-05:00,12:30:00-05:00,,
125,1011910,76008,15:00:00-06:00,18:00:00-06:00,,,,,,,,,,,,
126,1010597,28681,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
127,1000519,13607,,,,,,,,,09:00:00-05:00,15:00:00-05:00,,,,
128,1007366,56308,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
129,1011196,14802,,,,,,,,,,,,,11:00:00-05:00,15:00:00-05:00
133,1008835,93905,,,11:00:00-08:00,16:00:00-08:00,,,,,,,,,,
134,1005548,33187,,,,,,,,,,,,,01:00:00-05:00,04:00:00-05:00
135,1011735,78552,10:00:00-06:00,18:00:00-06:00,,,,,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,13:00:00-06:00,18:00:00-06:00,,
136,1010096,38117,,,,,,,,,,,,,12:00:00-06:00,16:00:00-06:00
139,1001962,52172,03:30:00-06:00,06:00:00-06:00,,,,,,,,,,,,
140,1002717,49010,,,,,,,08:00:00-05:00,14:00:00-05:00,,,,,,
141,1008262,28675,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
142,1002836,66749,,,,,,,17:30:00-06:00,19:00:00-06:00,,,,,,
143,1011777,48912,,,,,15:00:00-05:00,18:30:00-05:00,,,,,,,,
148,1005675,44601,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
149,1006739,33919,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
153,1002250,48801,,,,,07:00:00-05:00,13:00:00-05:00,,,,,07:00:00-05:00,13:00:00-05:00,,
155,1012389,97007,,,,,,,15:00:00-08:00,19:30:00-08:00,,,,,,
156,1010476,49707,,,,,08:00:00-05:00,13:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,,
157,1005447,83611,,,,,10:00:00-07:00,17:00:00-07:00,,,,,,,,
158,1009792,60803,,,15:00:00-06:00,19:00:00-06:00,,,,,,,,,,
159,1009998,91001,,,,,15:00:00-08:00,19:00:00-08:00,,,,,,,,
160,1004383,12009,11:00:00-05:00,18:00:00-05:00,11:00:00-05:00,18:00:00-05:00,,,11:00:00-05:00,18:00:00-05:00,11:00:00-05:00,18:00:00-05:00,10:00:00-05:00,14:00:00-05:00,10:00:00-05:00,14:00:00-05:00
162,1006749,62002,,,,,16:00:00-06:00,19:00:00-06:00,,,,,08:00:00-06:00,12:00:00-06:00,,
164,1001100,73521,,,17:00:00-06:00,20:00:00-06:00,,,,,17:00:00-06:00,20:00:00-06:00,,,,
167,1005644,95642,,,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00
168,1005645,95665,,,,,15:00:00-08:00,18:00:00-08:00,,,,,,,,
169,1005646,95685,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00,,
171,1008321,23002,,,04:00:00-05:00,19:00:00-05:00,,,,,,,,,,
172,1008399,32034,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
176,1005188,54001,15:00:00-06:00,18:00:00-06:00,,,,,,,,,,,,
177,1011171,50010,,,,,,,,,,,,,08:00:00-06:00,12:30:00-06:00
181,1001135,25252,,,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,
182,1010105,37115,,,,,,,,,,,,,12:00:00-06:00,15:00:00-06:00
183,1011670,12010,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
184,1012157,59711,,,16:00:00-07:00,19:00:00-07:00,,,,,,,,,,
185,1005944,98221,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
186,1001105,58710,18:00:00-06:00,20:00:00-06:00,,,,,,,,,,,,
188,1007258,99645,,,,,,,,,,,09:00:00-09:00,14:00:00-09:00,,
189,1002640,99501,,,,,,,,,,,10:00:00-09:00,18:00:00-09:00,10:00:00-09:00,18:00:00-09:00
190,1010883,46016,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
191,1008251,29621,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
192,1008727,40342,,,,,,,,,11:00:00-05:00,18:00:00-05:00,09:00:00-05:00,17:00:00-05:00,12:00:00-05:00,16:00:00-05:00
194,1004991,45230,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
196,1003516,60640,,,,,15:00:00-06:00,20:00:00-06:00,,,,,,,,
200,1006378,14709,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
201,1010280,75901,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,16:00:00-06:00,11:00:00-06:00,15:00:00-06:00
202,1006268,95222,,,,,,,,,17:00:00-08:00,20:00:00-08:00,,,,
203,1010223,48104,,,,,07:00:00-05:00,15:00:00-05:00,,,,,07:00:00-05:00,15:00:00-05:00,,
204,1010380,11003,,,10:00:00-05:00,14:00:00-05:00,,,,,,,,,,
206,1012588,22003,,,,,,,08:00:00-05:00,12:00:00-05:00,,,,,,
207,1006800,21401,,,,,,,,,,,,,08:30:00-05:00,12:00:00-05:00
208,1001142,21401,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00,,
210,1001465,55303,,,,,,,14:00:00-06:00,17:00:00-06:00,,,,,,
213,1000306,19425,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,
214,1000405,28170,,,,,07:00:00-05:00,13:00:00-05:00,,,,,07:00:00-05:00,13:00:00-05:00,,
215,1011248,93534,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00,,
216,1012651,85086,,,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00
217,1000434,67003,,,,,,,,,,,07:30:00-06:00,09:30:00-06:00,,
218,1004557,54409,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
219,1011109,27502,,,,,,,,,,,08:30:00-05:00,12:30:00-05:00,,
220,1011158,37821,,,,,10:00:00-05:00,14:00:00-05:00,,,,,,,,
222,1000683,79401,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,,
223,1000685,79329,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,16:00:00-06:00
225,1012562,56208,,,,,08:00:00-06:00,12:00:00-06:00,,,,,,,,
226,1000431,54911,,,,,,,,,,,08:00:00-06:00,12:30:00-06:00,,
227,1009687,95003,,,,,,,,,,,08:00:00-08:00,12:00:00-08:00,,
231,1001764,14009,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
232,1000558,63650,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
233,1012474,20020,,,,,,,,,14:00:00-05:00,17:00:00-05:00,,,,
234,1012410,20010,,,,,12:00:00-05:00,14:00:00-05:00,,,,,,,,
235,1012375,20032,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,,,
236,1012453,20002,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
237,1012422,20032,,,,,,,10:00:00-05:00,12:00:00-05:00,,,,,,
238,1012455,20019,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,,,
239,1012477,20017,,,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,
240,1012413,20032,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
241,1012419,20001,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
242,1012454,20019,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
243,1012374,20032,,,16:00:00-05:00,18:00:00-05:00,,,,,,,,,,
244,1012427,20032,,,,,,,10:00:00-05:00,12:00:00-05:00,,,,,,
245,1012377,20001,,,,,10:00:00-05:00,12:00:00-05:00,,,,,,,,
246,1002085,95521,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
247,1001628,20198,,,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00
249,1002798,48658,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
250,1010882,48103,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,08:00:00-05:00,18:00:00-05:00,08:00:00-05:00,18:00:00-05:00
257,1001018,72201,17:00:00-06:00,18:00:00-06:00,,,,,,,,,10:00:00-06:00,12:00:00-06:00,,
260,1012129,22201,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
261,1008236,12603,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
262,1002611,98223,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00,,
264,1010945,22204,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,
266,1011122,87105,,,,,,,,,,,08:00:00-07:00,12:00:00-07:00,,
268,1001991,63010,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
273,1008855,48065,,,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00
274,1010575,19382,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
275,1008534,47201,,,,,,,15:30:00-05:00,19:00:00-05:00,,,,,,
277,1005081,80002,,,,,,,,,,,,,09:00:00-07:00,13:30:00-07:00
283,1003061,20147,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
287,1003219,28694,,,,,08:00:00-05:00,13:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,,
288,1008904,28801,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
289,1008905,28803,,,,,12:00:00-05:00,16:00:00-05:00,,,,,,,,
292,1005158,54846,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
293,1008897,23005,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
303,1004692,80120,,,,,10:00:00-07:00,14:00:00-07:00,,,,,,,,
305,1000086,11106,,,,,08:00:00-05:00,15:00:00-05:00,,,,,,,,
306,1003661,97103,,,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00
307,1001245,72401,,,,,,,,,,,07:00:00-06:00,13:00:00-06:00,,
313,1002984,66002,,,,,14:30:00-06:00,17:30:00-06:00,,,,,08:00:00-06:00,12:00:00-06:00,,
314,1000448,49011,,,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,
316,1005086,45701,,,,,09:00:00-05:00,12:00:00-05:00,16:00:00-05:00,19:00:00-05:00,,,09:00:00-05:00,12:00:00-05:00,,
317,1010034,37303,,,16:00:00-05:00,18:00:00-05:00,,,16:00:00-05:00,18:00:00-05:00,,,17:00:00-05:00,21:00:00-05:00,,
318,1008974,30601,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
319,1008857,30606,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
320,1000297,30603,,,,,,,16:30:00-05:00,20:00:00-05:00,,,,,,
321,1011861,35611,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
322,1002987,28203,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,,
329,1001503,39090,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
333,1010003,90039,,,,,,,,,,,,,10:00:00-08:00,14:00:00-08:00
335,1006311,30011,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,
336,1002377,13021,,,07:00:00-05:00,14:00:00-05:00,,,07:00:00-05:00,14:00:00-05:00,,,07:00:00-05:00,14:00:00-05:00,,
337,1003772,66402,,,13:00:00-06:00,18:00:00-06:00,,,,,,,,,,
340,1006410,48326,,,,,,,14:30:00-05:00,18:30:00-05:00,,,,,,
341,1011950,98001,,,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00
344,1003923,55418,,,,,,,16:00:00-06:00,19:00:00-06:00,,,,,,
346,1008999,32803,18:00:00-05:00,22:00:00-05:00,,,,,,,,,,,,
349,1000870,30901,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,15:30:00-05:00,,
350,1000559,65605,,,,,,,,,,,,,,
351,1005604,65605,,,,,08:00:00-06:00,12:00:00-06:00,,,,,07:00:00-06:00,12:00:00-06:00,,
352,1010694,65605,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
353,1011929,60505,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
354,1011927,60607,,,,,,,10:00:00-06:00,14:00:00-06:00,,,,,,
355,1011928,60506,,,,,12:00:00-06:00,17:00:00-06:00,,,,,,,,
356,1001695,12912,,,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,
358,1012430,55912,16:00:00-06:00,19:00:00-06:00,,,,,16:00:00-06:00,19:00:00-06:00,,,09:00:00-06:00,12:00:00-06:00,,
359,1011490,44515,17:00:00-05:00,20:00:00-05:00,,,,,,,,,,,,
360,1011826,85321,,,,,,,15:00:00-07:00,18:00:00-07:00,,,09:00:00-07:00,12:00:00-07:00,,
362,1010695,65608,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
363,1003539,33138,,,,,,,,,,,10:00:00-05:00,21:30:00-05:00,12:00:00-05:00,20:00:00-05:00
366,1011092,44012,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,,,
367,1000898,14414,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
371,1003520,20020,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00,,
375,1010696,64856,,,08:00:00-06:00,14:00:00-06:00,,,,,,,,,,
376,1005235,64831,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
377,1010697,64831,,,,,,,08:00:00-06:00,14:00:00-06:00,,,,,,
379,1000029,56621,,,,,,,,,16:00:00-06:00,18:00:00-06:00,,,,
380,1005228,65049,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,,,
382,1004633,98110,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
383,1003411,97814,,,,,15:30:00-08:00,18:30:00-08:00,,,,,,,,
389,1004882,66006,,,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,
393,1008721,42056,,,,,08:00:00-06:00,17:00:00-06:00,08:00:00-06:00,17:00:00-06:00,08:00:00-06:00,17:00:00-06:00,08:00:00-06:00,15:00:00-06:00,,
394,1011333,98107,,,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00
396,1011939,22203,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
397,1003662,12020,,,,,,,15:00:00-05:00,18:00:00-05:00,,,09:00:00-05:00,12:00:00-05:00,,
400,1000790,21210,,,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00
402,1010688,78003,,,,,,,08:00:00-06:00,11:00:00-06:00,,,,,,
403,1008053,49056,,,,,,,,,15:00:00-05:00,20:00:00-05:00,,,,
405,1012134,92220,,,18:00:00-08:00,21:00:00-08:00,,,,,,,,,,
408,1004549,26416,,,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,17:00:00-05:00,07:00:00-05:00,12:00:00-05:00,,
410,1008918,11217,,,,,,,,,,,08:00:00-05:00,16:00:00-05:00,,
411,1007268,40004,,,07:30:00-05:00,12:30:00-05:00,,,,,07:30:00-05:00,12:30:00-05:00,07:30:00-05:00,12:30:00-05:00,,
413,1003082,14012,,,,,,,17:00:00-05:00,20:00:00-05:00,,,,,,
414,1005428,54880,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
420,1003976,42142,,,08:00:00-06:00,13:00:00-06:00,,,,,08:00:00-06:00,13:00:00-06:00,,,,
424,1012205,12719,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
429,1008194,38134,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
433,1010197,82410,,,,,16:30:00-07:00,18:00:00-07:00,,,,,,,,
436,1000436,78602,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00,,
437,1005439,60510,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
438,1006462,24445,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
439,1001325,40360,,,08:00:00-05:00,17:00:00-05:00,,,,,08:00:00-05:00,17:00:00-05:00,08:00:00-05:00,17:00:00-05:00,,
440,1007420,48808,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
444,1009051,49014,,,,,09:00:00-05:00,13:00:00-05:00,,,,,09:00:00-05:00,13:00:00-05:00,,
445,1003806,30739,,,,,15:00:00-05:00,18:00:00-05:00,,,,,08:00:00-05:00,12:00:00-05:00,,
449,1000057,11209,,,,,,,,,,,08:00:00-05:00,15:00:00-05:00,,
450,1005817,13090,,,,,08:00:00-05:00,17:00:00-05:00,,,,,,,,
455,1010298,49781,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,
460,1003912,93412,14:00:00-08:00,16:30:00-08:00,,,,,,,,,,,,
462,1012753,33931,,,,,09:00:00-05:00,14:00:00-05:00,,,,,,,,
463,1001852,32266,,,,,,,,,,,14:00:00-05:00,17:00:00-05:00,,
464,1006359,12508,,,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00
465,1011153,47448,,,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,
467,1010739,77707,,,,,,,,,,,08:00:00-06:00,11:00:00-06:00,,
468,1001275,48073,,,,,,,08:00:00-05:00,14:00:00-05:00,,,,,,
470,1011675,42320,,,15:00:00-06:00,18:00:00-06:00,,,,,,,08:00:00-06:00,12:00:00-06:00,,
472,1007999,50310,,,16:30:00-06:00,19:30:00-06:00,,,,,,,,,,
473,1001403,97075,,,,,,,,,,,08:00:00-08:00,13:30:00-08:00,,
474,1008103,97075,,,,,03:00:00-08:00,18:00:00-08:00,,,,,,,,
475,1011291,48182,,,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00
476,1011041,47421,,,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00
477,1010175,24523,,,15:00:00-05:00,18:00:00-05:00,,,,,08:00:00-05:00,13:30:00-05:00,,,,
481,1000497,40214,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
482,1010368,69345,10:00:00-07:00,18:00:00-07:00,10:00:00-07:00,18:00:00-07:00,,,,,10:00:00-07:00,18:00:00-07:00,10:00:00-07:00,18:00:00-07:00,10:00:00-07:00,18:00:00-07:00
483,1006161,48462,,,,,,,,,18:00:00-05:00,21:00:00-05:00,,,,
484,1005696,62320,,,,,15:00:00-06:00,18:00:00-06:00,,,,,,,,
485,1010607,21014,,,,,,,,,,,07:00:00-05:00,11:00:00-05:00,,
487,1011913,48809,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
491,1004852,59714,,,,,,,16:00:00-07:00,19:00:00-07:00,,,,,,
497,1011051,49615,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,,,
500,1010227,19809,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
502,1011902,66935,,,,,,,,,,,08:00:00-06:00,11:00:00-06:00,,
505,1008875,62220,,,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,
507,1001204,49021,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
