,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1321,1012712,64106,,,,,16:00:00-06:00,19:00:00-06:00,,,,,,,,
1336,1003131,64050,,,,,06:00:00-06:00,13:00:00-06:00,,,,,,,,
1339,1008434,20110,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
1371,1008938,28610,,,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,
1380,1011959,85282,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
1435,1012118,43214,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
1506,1011118,65203,,,,,16:00:00-06:00,18:00:00-06:00,,,,,,,,
1509,1008316,22204,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
1571,1009865,72032,,,06:30:00-06:00,12:00:00-06:00,,,,,,,06:30:00-06:00,12:00:00-06:00,,
1586,1002967,13326,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
1594,1000158,75019,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1604,1009614,33706,,,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00
1643,1004382,66044,,,,,,,16:00:00-06:00,18:00:00-06:00,,,,,,
1675,1006230,65010,,,,,,,03:00:00-06:00,06:30:00-06:00,,,,,,
1694,1012106,70116,,,,,13:00:00-06:00,17:00:00-06:00,,,,,,,,
1772,1001717,22193,,,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00
1776,1012749,75201,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00
1778,1002739,94015,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
1796,1010818,24541,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
1868,1009013,76201,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
1896,1010066,37055,,,,,,,,,,,10:00:00-06:00,12:00:00-06:00,,
1902,1012662,17019,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
1946,1008815,76010,,,,,,,,,08:00:00-06:00,13:00:00-06:00,08:00:00-06:00,13:00:00-06:00,,
1975,1012192,92020,,,,,,,03:00:00-08:00,18:00:00-08:00,,,,,,
1982,1010080,99362,,,,,,,16:00:00-08:00,19:30:00-08:00,,,,,,
1996,1012608,50309,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1998,1011952,77901,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
2003,1004884,49735,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
2026,1010225,49525,,,09:00:00-05:00,14:00:00-05:00,,,16:00:00-05:00,19:00:00-05:00,,,09:00:00-05:00,14:00:00-05:00,,
2060,1010998,47807,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
2087,1010060,38225,,,,,,,14:00:00-06:00,18:00:00-06:00,,,08:00:00-06:00,12:00:00-06:00,,
2105,1010851,55810,13:00:00-06:00,18:00:00-06:00,13:00:00-06:00,18:00:00-06:00,13:00:00-06:00,18:00:00-06:00,13:00:00-06:00,18:00:00-06:00,13:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00
2124,1000312,27701,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
2135,1005953,55121,,,,,,,,,,,10:00:00-06:00,13:00:00-06:00,,
2157,1011673,77003,,,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00
2160,1002854,19380,,,,,,,15:00:00-05:00,17:00:00-05:00,,,,,,
2198,1003103,57105,,,,,,,,,,,08:00:00-06:00,13:00:00-06:00,,
2200,1008871,48207,,,09:00:00-05:00,15:00:00-05:00,,,,,,,06:00:00-05:00,16:00:00-05:00,10:00:00-05:00,16:00:00-05:00
2209,1009867,18042,,,,,04:00:00-05:00,20:00:00-05:00,,,,,,,,
2223,1001570,54701,,,,,07:30:00-06:00,13:00:00-06:00,12:00:00-06:00,17:00:00-06:00,,,07:30:00-06:00,13:00:00-06:00,,
2362,1000107,52227,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
2373,1004719,66801,,,,,17:00:00-06:00,19:00:00-06:00,,,,,,,,
2387,1000175,27278,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
2400,1006678,87532,,,,,,,,,14:00:00-07:00,19:00:00-07:00,,,,
2416,1000410,72632,,,,,,,09:00:00-06:00,12:00:00-06:00,,,,,,
2451,1004130,52556,,,,,15:00:00-06:00,18:00:00-06:00,,,,,,,,
2508,1009026,46278,,,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,
2553,1008265,94574,,,,,,,,,,,11:00:00-08:00,16:00:00-08:00,11:00:00-08:00,16:00:00-08:00
2561,1001247,46140,,,,,08:00:00-05:00,12:00:00-05:00,,,,,08:00:00-05:00,12:00:00-05:00,,
2568,1010414,27540,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
2589,1010166,23226,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
2605,1010823,28411,,,08:00:00-05:00,13:00:00-05:00,,,,,,,,,,
2611,1010802,24523,,,14:30:00-05:00,17:00:00-05:00,,,,,,,,,,
2645,1012061,72701,,,,,,,,,,,07:00:00-06:00,14:00:00-06:00,,
2647,1011668,13066,,,,,,,12:00:00-05:00,15:00:00-05:00,,,,,,
2671,1003080,35056,,,,,,,08:00:00-06:00,17:00:00-06:00,,,,,,
2735,1003408,53206,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
2742,1011848,85721,,,,,10:00:00-07:00,14:00:00-07:00,,,,,,,,
2745,1011847,85712,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
2747,1011142,85718,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,09:00:00-07:00,13:00:00-07:00
2754,1000958,24551,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
2755,1003332,97116,,,,,15:00:00-08:00,19:00:00-08:00,,,,,,,,
2770,1011136,80525,,,,,11:00:00-07:00,15:00:00-07:00,,,,,,,,
