,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
6872,1001875,85901,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
6873,1005359,71101,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
6888,1010022,72761,,,,,,,,,,,09:00:00-06:00,11:00:00-06:00,,
6899,1011811,93093,,,,,,,,,11:00:00-08:00,15:30:00-08:00,,,,
6908,1005480,13152,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
6982,1001657,27713,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
7010,1001461,91030,,,,,,,16:00:00-08:00,19:00:00-08:00,,,,,,
7052,1011320,46227,,,10:00:00-05:00,14:00:00-05:00,,,03:00:00-05:00,18:30:00-05:00,,,,,,
7089,1000226,22407,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
7111,1004318,52336,,,,,,,,,,,09:00:00-06:00,11:00:00-06:00,,
7144,1012351,56374,,,,,,,,,15:00:00-06:00,19:00:00-06:00,,,,
7150,1002928,18015,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
7160,1007809,55101,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
7164,1012278,33701,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
7264,1000699,45459,,,,,,,,,15:00:00-05:00,17:00:00-05:00,,,,
7274,1011279,12175,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
7294,1007271,88063,,,,,,,,,,,09:00:00-07:00,14:00:00-07:00,,
7337,1011955,30075,,,,,,,14:00:00-05:00,17:00:00-05:00,,,,,,
7397,1011873,29687,,,,,,,16:00:00-05:00,20:00:00-05:00,,,,,,
7412,1010347,85281,,,,,,,,,,,,,08:00:00-07:00,13:00:00-07:00
7421,1001625,83422,,,,,,,,,09:00:00-07:00,13:30:00-07:00,,,,
7426,1000274,49009,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,,,
7433,1000574,93534,,,,,,,12:00:00-08:00,17:00:00-08:00,,,,,,
7441,1004439,27514,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,,,
7446,1003140,44110,,,,,10:00:00-05:00,13:00:00-05:00,,,,,,,,
7453,1008326,28036,,,,,,,,,,,09:00:00-05:00,11:00:00-05:00,,
7458,1003881,28677,,,,,,,15:30:00-05:00,18:00:00-05:00,,,,,,
7536,1008419,29745,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
7578,1010855,40205,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
7605,1001866,49684,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
7673,1009939,43604,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
7783,1000113,35476,,,,,,,,,,,06:00:00-06:00,12:00:00-06:00,,
7784,1008842,35401,,,07:00:00-06:00,12:00:00-06:00,,,,,,,07:00:00-06:00,12:00:00-06:00,,
7791,1001563,85308,,,,,17:00:00-07:00,20:00:00-07:00,,,,,,,,
7803,1006371,39667,,,09:00:00-06:00,14:00:00-06:00,,,,,,,,,,
7854,1002958,19406,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
7865,1012198,85012,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
7868,1010840,29646,,,,,10:00:00-05:00,14:00:00-05:00,,,,,,,,
7887,1001278,52345,,,,,,,,,,,09:00:00-06:00,11:00:00-06:00,,
7888,1004134,21704,16:30:00-05:00,18:30:00-05:00,,,,,,,,,,,,
7900,1012402,29070,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
7996,1010577,60466,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
8062,1007306,27587,,,,,15:00:00-05:00,17:00:00-05:00,,,,,,,,
8069,1002913,53093,,,,,,,,,,,13:00:00-06:00,16:00:00-06:00,,
8101,1000455,45895,,,,,,,,,,,,,08:30:00-05:00,12:00:00-05:00
8177,1008823,13480,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,
8191,1009773,54981,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
8198,1011662,28173,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
8224,1009835,64870,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
8281,1000255,19380,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
8377,1007299,22205,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
8421,1010089,59759,,,,,15:00:00-07:00,18:00:00-07:00,,,,,,,,
8425,1008361,43571,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
8458,1009023,23185,,,,,,,,,,,08:30:00-05:00,12:30:00-05:00,,
8478,1005694,23938,17:00:00-05:00,21:00:00-05:00,17:00:00-05:00,21:00:00-05:00,17:00:00-05:00,21:00:00-05:00,17:00:00-05:00,21:00:00-05:00,17:00:00-05:00,21:00:00-05:00,08:00:00-05:00,21:00:00-05:00,14:00:00-05:00,18:00:00-05:00
8485,1011693,31410,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
8495,1011147,40391,,,16:00:00-05:00,18:00:00-05:00,,,,,,,08:00:00-05:00,12:00:00-05:00,,
8498,1001690,22601,,,08:00:00-05:00,13:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,08:00:00-05:00,13:00:00-05:00,,
8506,1010813,95492,,,,,,,17:00:00-08:00,20:00:00-08:00,,,,,,
8520,1001536,75494,,,,,,,,,,,10:00:00-06:00,13:00:00-06:00,,
8566,1012503,54495,,,,,,,10:00:00-06:00,14:00:00-06:00,,,10:00:00-06:00,14:00:00-06:00,,
8598,1007309,18940,,,,,,,,,,,10:00:00-05:00,11:00:00-05:00,,
8619,1007259,14527,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
