,FMID,start,end,zip
0,1010487,2016-01-02,2016-04-09,24210
1,1011967,2016-01-01,2016-12-31,32531
2,1007366,2014-06-01,2014-10-30,56308
3,1009998,2014-11-12,2014-12-31,91001
4,1005944,2016-01-09,2016-04-09,98221
5,1008251,2014-11-29,2014-12-20,29621
6,1010223,2014-05-01,2014-12-01,48104
7,1001245,2015-10-03,2015-10-24,72401
8,1001403,2016-02-01,2016-04-01,97075
9,1000254,2015-01-01,2015-03-28,24060
10,1011740,2016-04-06,2016-11-16,27510
11,1004738,2014-11-01,2014-12-13,21157
12,1008316,2016-01-10,2016-04-24,22204
13,1009865,2014-08-16,2014-11-01,72032
14,1002967,2016-01-02,2016-04-30,13326
15,1009013,2015-04-04,2015-11-28,76201
16,1012192,2016-01-01,2016-05-26,92020
17,1010225,2014-10-04,2014-11-29,49525
18,1000312,2016-04-20,2016-10-12,27701
19,1004719,2015-11-07,2016-04-16,66801
20,1009026,2014-11-08,2015-04-25,46278
21,1008265,2014-11-07,2014-12-28,94574
22,1001247,2016-10-01,2016-10-29,46140
23,1010166,2014-11-29,2015-03-28,23226
24,1012061,2016-12-01,2017-03-25,72701
25,1006031,2017-01-07,2017-04-01,22401
26,1002208,2015-10-03,2015-12-19,60030
27,1010623,2016-05-01,2016-10-30,53220
28,1010686,2014-12-04,2015-04-30,20169
29,1010845,2015-09-08,2015-11-10,29208
30,1001038,2014-10-04,2014-10-25,60901
31,1012794,2017-10-07,2017-11-18,86401
32,1003269,2013-12-07,2014-04-19,12402
33,1010416,2014-06-04,2014-07-30,70503
34,1009803,2015-06-04,2015-09-24,97401
35,1012618,2016-11-05,2017-04-29,20175
36,1000905,2016-06-05,2016-10-30,48146
37,1005431,2015-12-12,2016-04-09,87107
38,1012523,2016-11-12,2017-04-08,55401
39,1010201,2014-11-01,2014-12-31,48162
40,1002538,2016-03-05,2016-12-03,32344
41,1000008,2016-11-05,2017-04-29,81401
42,1005991,2014-05-21,2014-09-17,23116
43,1000235,2017-01-14,2017-04-22,13501
44,1010959,2015-05-23,2015-12-19,10562
45,1011684,2017-04-06,2017-10-26,38112
46,1011820,2016-10-01,2016-12-31,85004
47,1002870,2017-01-01,2017-03-31,19460
48,1002350,2013-11-02,2013-12-31,90094
49,1012696,2016-11-06,2017-03-12,32459
50,1009082,2014-08-19,2014-10-28,29928
51,1001875,2015-05-23,2015-09-26,85901
52,1012351,2016-09-23,2016-10-21,56374
53,1000383,2012-01-01,2012-05-31,25428
54,1004439,2014-11-28,2015-03-21,27514
55,1008419,2014-08-13,2014-10-08,29745
56,1001563,2013-10-02,2013-12-18,85308
57,1012198,2016-10-05,2017-06-28,85012
58,1012402,2016-05-01,2016-11-01,29070
59,1007306,2014-12-20,2015-03-28,27587
60,1010927,2015-06-02,2015-08-25,27610
61,1009023,2016-04-02,2016-11-26,23185
0,1001487,2012-07-01,2012-09-01,61101
