FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1008006,20009,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00,,
1008961,96750,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,08:00:00-10:00,16:00:00-10:00,,,12:00:00-10:00,16:00:00-10:00
1012288,49221,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1011214,14611,,,,,11:00:00-05:00,14:00:00-05:00,,,,,,,,
1008667,28027,,,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,
1012233,38120,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:30:00-06:00,17:30:00-06:00,07:00:00-06:00,17:30:00-06:00,,
1008054,34604,,,,,,,,,,,08:00:00-05:00,15:00:00-05:00,08:00:00-05:00,15:00:00-05:00
1011967,32531,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,17:00:00-06:00,12:00:00-06:00,17:00:00-06:00
1004086,36542,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1008612,32653,,,,,,,,,,,,,08:30:00-05:00,13:00:00-05:00
1004846,89001,,,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,10:00:00-08:00,17:00:00-08:00,,
1011033,88310,,,,,,,,,,,09:00:00-07:00,11:00:00-07:00,,
1004070,81101,,,,,,,,,,,08:00:00-07:00,13:00:00-07:00,,
1004425,31702,,,,,,,,,,,08:00:00-05:00,14:00:00-05:00,,
1002175,97321,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
1010559,49224,,,,,08:30:00-05:00,13:00:00-05:00,,,,,08:30:00-05:00,13:00:00-05:00,,
1010407,87102,,,,,,,,,,,07:00:00-07:00,12:00:00-07:00,,
1002222,48740,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
1008252,24910,,,,,,,,,,,08:00:00-05:00,12:30:00-05:00,,
1011910,76008,15:00:00-06:00,18:00:00-06:00,,,,,,,,,,,,
1010597,28681,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
1000519,13607,,,,,,,,,09:00:00-05:00,15:00:00-05:00,,,,
1007366,56308,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
1011196,14802,,,,,,,,,,,,,11:00:00-05:00,15:00:00-05:00
1008835,93905,,,11:00:00-08:00,16:00:00-08:00,,,,,,,,,,
1005548,33187,,,,,,,,,,,,,01:00:00-05:00,04:00:00-05:00
1011735,78552,10:00:00-06:00,18:00:00-06:00,,,,,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,13:00:00-06:00,18:00:00-06:00,,
1010096,38117,,,,,,,,,,,,,12:00:00-06:00,16:00:00-06:00
1001962,52172,03:30:00-06:00,06:00:00-06:00,,,,,,,,,,,,
1002717,49010,,,,,,,08:00:00-05:00,14:00:00-05:00,,,,,,
1008262,28675,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1002836,66749,,,,,,,17:30:00-06:00,19:00:00-06:00,,,,,,
1011777,48912,,,,,15:00:00-05:00,18:30:00-05:00,,,,,,,,
1005675,44601,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
1006739,33919,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1002250,48801,,,,,07:00:00-05:00,13:00:00-05:00,,,,,07:00:00-05:00,13:00:00-05:00,,
1012389,97007,,,,,,,15:00:00-08:00,19:30:00-08:00,,,,,,
1010476,49707,,,,,08:00:00-05:00,13:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,,
1005447,83611,,,,,10:00:00-07:00,17:00:00-07:00,,,,,,,,
1009792,60803,,,15:00:00-06:00,19:00:00-06:00,,,,,,,,,,
1009998,91001,,,,,15:00:00-08:00,19:00:00-08:00,,,,,,,,
1004383,12009,11:00:00-05:00,18:00:00-05:00,11:00:00-05:00,18:00:00-05:00,,,11:00:00-05:00,18:00:00-05:00,11:00:00-05:00,18:00:00-05:00,10:00:00-05:00,14:00:00-05:00,10:00:00-05:00,14:00:00-05:00
1006749,62002,,,,,16:00:00-06:00,19:00:00-06:00,,,,,08:00:00-06:00,12:00:00-06:00,,
1001100,73521,,,17:00:00-06:00,20:00:00-06:00,,,,,17:00:00-06:00,20:00:00-06:00,,,,
1005644,95642,,,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00
1005645,95665,,,,,15:00:00-08:00,18:00:00-08:00,,,,,,,,
1005646,95685,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00,,
1008321,23002,,,04:00:00-05:00,19:00:00-05:00,,,,,,,,,,
1008399,32034,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1005188,54001,15:00:00-06:00,18:00:00-06:00,,,,,,,,,,,,
1011171,50010,,,,,,,,,,,,,08:00:00-06:00,12:30:00-06:00
1001135,25252,,,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,
1010105,37115,,,,,,,,,,,,,12:00:00-06:00,15:00:00-06:00
1011670,12010,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
1012157,59711,,,16:00:00-07:00,19:00:00-07:00,,,,,,,,,,
1005944,98221,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
1001105,58710,18:00:00-06:00,20:00:00-06:00,,,,,,,,,,,,
